Index,EAN,Internal ID,Stock,Price
1,8.93944E+12,72,309,683
2,8.27689E+12,61,121,959
3,7.61574E+12,22,221,683
4,3.80757E+12,61,702,227
5,1.11614E+12,83,650,746
6,6.72062E+12,86,909,571
7,6.10115E+12,5,762,835
8,4.39472E+12,96,732,366
9,9.95445E+12,24,423,844
10,6.44388E+12,56,254,266
11,6.35694E+12,58,204,309
12,3.75482E+12,43,169,755
13,1.06915E+12,23,373,680
14,1.21832E+12,4,987,45
15,7.01418E+12,47,115,579
16,9.2352E+12,41,124,494
17,7.3631E+12,58,763,966
18,9.85937E+12,52,557,84
19,7.45223E+12,49,418,779
20,4.58369E+12,74,199,637
21,97380390418,26,120,537
22,1.95702E+12,76,528,905
23,7.02371E+12,35,662,586
24,8.10583E+12,12,39,384
25,2.07736E+12,16,478,351
26,2.63869E+12,19,578,723
27,3.37946E+12,79,545,223
28,4.06204E+12,61,861,933
29,3.99372E+11,47,39,810
30,5.40203E+12,58,967,486
31,1.96752E+12,95,590,190
32,1.88914E+12,21,402,888
33,8.6097E+12,8,570,855
34,3.76038E+11,54,393,983
35,2.74959E+12,63,409,777
36,4.88189E+12,72,352,426
37,9.57728E+12,35,961,82
38,9.50518E+11,50,129,957
39,7.12464E+12,2,655,102
40,4.60659E+12,61,45,80
41,7.32702E+11,88,834,429
42,6.81374E+12,46,912,574
43,1.89383E+12,50,324,207
44,5.18801E+12,43,365,681
45,9.6628E+11,27,45,678
46,2.27483E+12,38,615,691
47,7.55778E+11,34,589,815
48,3.22195E+12,22,902,7
49,9.82448E+12,4,804,872
50,2.03734E+12,91,169,575
51,2.14211E+12,53,696,952
52,2.28146E+12,61,606,297
53,8.48649E+12,98,920,906
54,4.45809E+11,66,432,65
55,2.47933E+12,97,250,976
56,4.60891E+12,50,712,831
57,8.52372E+12,88,155,729
58,7.91785E+12,99,309,418
59,3.56172E+12,87,730,897
60,6.91098E+11,89,564,618
61,7.68397E+12,20,98,553
62,2.36554E+12,32,323,543
63,9.85504E+12,98,587,869
64,6.1672E+12,32,225,489
65,5.29808E+12,16,74,774
66,8.00678E+12,94,108,256
67,8.11532E+12,27,724,490
68,4.47414E+12,80,727,656
69,9.16551E+12,22,156,333
70,5.90441E+12,65,304,113
71,7.67506E+12,31,601,486
72,9.99819E+12,88,936,138
73,6.76405E+12,86,126,42
74,1.12618E+12,4,772,811
75,1.00634E+12,16,625,703
76,9.99038E+12,4,827,34
77,4.41195E+12,98,31,731
78,2.8809E+12,75,210,668
79,7.67233E+11,36,171,403
80,7.10684E+12,75,210,533
81,3.24779E+12,23,474,234
82,1.25004E+12,29,581,146
83,8.12064E+12,80,409,106
84,3.87302E+12,59,651,399
85,4.28028E+11,41,523,566
86,2.94241E+12,39,399,459
87,4.82617E+12,39,1,858
88,4.19864E+12,61,781,779
89,7.03145E+12,72,113,918
90,5.63223E+11,18,117,683
91,2.18531E+12,36,321,610
92,8.65644E+12,75,56,94
93,61472190866,70,607,901
94,1.91632E+12,9,315,871
95,1.6775E+12,15,372,605
96,6.23857E+12,8,434,272
97,9.38292E+12,76,823,913
98,6.76436E+12,1,377,481
99,8.15534E+12,57,433,433
100,8.32934E+12,96,61,202
101,3.53541E+12,34,888,277
102,2.99365E+12,7,154,231
103,5.03356E+12,58,746,125
